Unicode,Glyph Name,Character
e331,turn-down-left,
e333,user-police,
e334,user-police-tie,
e337,watermelon-slice,
e338,wheat-awn-slash,
e339,wheat-slash,
e33a,badminton,
e33b,binary,
e33c,binary-circle-check,
e33d,binary-lock,
e33e,binary-slash,
e33f,boot-heeled,
e341,car-bolt,
e342,car-circle-bolt,
e343,car-mirrors,
e344,car-side-bolt,
e345,clock-eight,
e346,clock-eight-thirty,
e347,clock-eleven,
e348,clock-eleven-thirty,
e349,clock-five,
e34a,clock-five-thirty,
e34b,clock-four-thirty,
e34c,clock-nine,
e34d,clock-nine-thirty,
e34e,clock-one,
e34f,clock-one-thirty,
e350,clock-seven,
e351,clock-seven-thirty,
e352,clock-six,
e353,clock-six-thirty,
e354,clock-ten,
e355,clock-ten-thirty,
e356,clock-three,
e357,clock-three-thirty,
e358,clock-twelve,
e359,clock-twelve-thirty,
e35a,clock-two,
e35b,clock-two-thirty,
e35c,cloud-check,
e35d,cloud-minus,
e35e,cloud-plus,
e35f,cloud-xmark,
e361,columns-3,
e362,crystal-ball,
e363,cup-straw,
e364,cup-straw-swoosh,
e365,distribute-spacing-horizontal,
e366,distribute-spacing-vertical,
e367,eyes,
e368,face-angry-horns,
e369,face-anguished,
e36a,face-anxious-sweat,
e36b,face-astonished,
e36c,face-confounded,
e36d,face-confused,
e36e,face-cowboy-hat,
e36f,face-disappointed,
e370,face-disguise,
e371,face-downcast-sweat,
e372,face-drooling,
e373,face-expressionless,
e374,face-eyes-xmarks,
e375,face-fearful,
e376,face-frown-slight,
e377,face-glasses,
e378,face-hand-over-mouth,
e379,face-hand-yawn,
e37a,face-head-bandage,
e37b,face-hushed,
e37c,face-icicles,
e37d,face-kiss-closed-eyes,
e37e,face-lying,
e37f,face-mask,
e380,face-monocle,
e381,face-nauseated,
e382,face-nose-steam,
e383,face-party,
e384,face-pensive,
e385,face-persevering,
e386,face-pleading,
e387,face-pouting,
e388,face-raised-eyebrow,
e389,face-relieved,
e38a,face-sad-sweat,
e38b,face-scream,
e38c,face-shush,
e38d,face-sleeping,
e38e,face-sleepy,
e38f,face-smile-halo,
e390,face-smile-hearts,
e391,face-smile-horns,
e392,face-smile-relaxed,
e393,face-smile-tear,
e394,face-smile-tongue,
e395,face-smile-upside-down,
e396,face-smiling-hands,
e397,face-smirking,
e398,face-sunglasses,
e399,face-swear,
e39a,face-thermometer,
e39b,face-thinking,
e39c,face-tissue,
e39d,face-tongue-money,
e39e,face-tongue-sweat,
e39f,face-unamused,
e3a0,face-vomit,
e3a1,face-weary,
e3a2,face-woozy,
e3a3,face-worried,
e3a4,face-zany,
e3a5,face-zipper,
e3a6,file-lock,
e3a7,file-slash,
e3a8,fishing-rod,
e3a9,flying-disc,
e3aa,gallery-thumbnails,
e3ab,goal-net,
e3ac,golf-flag-hole,
e3ad,grid-dividers,
e3ae,hockey-stick-puck,
e3af,house-chimney,
e3b0,house-chimney-blank,
e3b1,house-crack,
e3b2,house-medical,
e3b3,house-window,
e3b4,key-skeleton-left-right,
e3b5,lacrosse-stick,
e3b6,lacrosse-stick-ball,
e3b7,mask-snorkel,
e3b8,message-bot,
e3b9,moped,
e3ba,nesting-dolls,
e3bb,objects-align-bottom,
e3bc,objects-align-center-horizontal,
e3bd,objects-align-center-vertical,
e3be,objects-align-left,
e3bf,objects-align-right,
e3c0,objects-align-top,
e3c1,objects-column,
e3c2,paperclip-vertical,
e3c3,pinata,
e3c4,pipe-smoking,
e3c5,pool-8-ball,
e3c6,rugby-ball,
e3c7,shirt-long-sleeve,
e3c8,shirt-running,
e3c9,shirt-tank-top,
e3ca,signature-lock,
e3cb,signature-slash,
